"DATE","TIME PERIOD","Euro Area 10 Years Government Benchmark Bond - Yield (FM.M.U2.EUR.4F.BB.U2_10Y.YLD)"
"1970-01-31","1970Jan","7.7525530"
"1970-02-28","1970Feb","7.9037030"
"1970-03-31","1970Mar","8.1123400"
"1970-04-30","1970Apr","8.0726670"
"1970-05-31","1970May","8.2432050"
"1970-06-30","1970Jun","8.4474450"
"1970-07-31","1970Jul","8.3503880"
"1970-08-31","1970Aug","8.3938900"
"1970-09-30","1970Sep","8.4099630"
"1970-10-31","1970Oct","8.4266370"
"1970-11-30","1970Nov","8.3731950"
"1970-12-31","1970Dec","8.2229660"
"1971-01-31","1971Jan","7.9059510"
"1971-02-28","1971Feb","7.8307040"
"1971-03-31","1971Mar","7.8452160"
"1971-04-30","1971Apr","7.8563790"
"1971-05-31","1971May","7.8968600"
"1971-06-30","1971Jun","8.0390460"
"1971-07-31","1971Jul","8.0691480"
"1971-08-31","1971Aug","8.0167850"
"1971-09-30","1971Sep","7.9950110"
"1971-10-31","1971Oct","7.9027850"
"1971-11-30","1971Nov","7.8459360"
"1971-12-31","1971Dec","7.7893690"
"1972-01-31","1972Jan","7.6783240"
"1972-02-29","1972Feb","7.5579930"
"1972-03-31","1972Mar","7.5266370"
"1972-04-30","1972Apr","7.5821690"
"1972-05-31","1972May","7.5090500"
"1972-06-30","1972Jun","7.5579070"
"1972-07-31","1972Jul","7.5823350"
"1972-08-31","1972Aug","7.5773260"
"1972-09-30","1972Sep","7.5886980"
"1972-10-31","1972Oct","7.6968530"
"1972-11-30","1972Nov","7.8107910"
"1972-12-31","1972Dec","7.9364060"
"1973-01-31","1973Jan","8.0048670"
"1973-02-28","1973Feb","7.9357510"
"1973-03-31","1973Mar","7.9869220"
"1973-04-30","1973Apr","8.0677800"
"1973-05-31","1973May","8.3607840"
"1973-06-30","1973Jun","8.4869790"
"1973-07-31","1973Jul","8.5397140"
"1973-08-31","1973Aug","8.5912740"
"1973-09-30","1973Sep","8.6748100"
"1973-10-31","1973Oct","8.6125480"
"1973-11-30","1973Nov","8.6813760"
"1973-12-31","1973Dec","8.8538530"
"1974-01-31","1974Jan","9.0285890"
"1974-02-28","1974Feb","9.3989730"
"1974-03-31","1974Mar","9.5933110"
"1974-04-30","1974Apr","9.7112310"
"1974-05-31","1974May","10.0001700"
"1974-06-30","1974Jun","10.4819800"
"1974-07-31","1974Jul","10.6274800"
"1974-08-31","1974Aug","10.7211600"
"1974-09-30","1974Sep","10.7450100"
"1974-10-31","1974Oct","10.7185700"
"1974-11-30","1974Nov","10.4901100"
"1974-12-31","1974Dec","10.5528100"
"1975-01-31","1975Jan","10.0865400"
"1975-02-28","1975Feb","9.8807660"
"1975-03-31","1975Mar","9.7282400"
"1975-04-30","1975Apr","9.7349740"
"1975-05-31","1975May","9.5183570"
"1975-06-30","1975Jun","9.4415040"
"1975-07-31","1975Jul","9.3352350"
"1975-08-31","1975Aug","9.4320220"
"1975-09-30","1975Sep","9.5579840"
"1975-10-31","1975Oct","9.3803400"
"1975-11-30","1975Nov","9.2407820"
"1975-12-31","1975Dec","9.2410160"
"1976-01-31","1976Jan","9.3627050"
"1976-02-29","1976Feb","9.3867470"
"1976-03-31","1976Mar","9.5428630"
"1976-04-30","1976Apr","9.8410070"
"1976-05-31","1976May","10.0866300"
"1976-06-30","1976Jun","10.3844700"
"1976-07-31","1976Jul","10.1638600"
"1976-08-31","1976Aug","10.4178400"
"1976-09-30","1976Sep","10.3951400"
"1976-10-31","1976Oct","10.5422600"
"1976-11-30","1976Nov","10.3770000"
"1976-12-31","1976Dec","10.3871200"
"1977-01-31","1977Jan","10.3234700"
"1977-02-28","1977Feb","10.3427300"
"1977-03-31","1977Mar","10.2665900"
"1977-04-30","1977Apr","10.2780700"
"1977-05-31","1977May","10.1676200"
"1977-06-30","1977Jun","10.2234800"
"1977-07-31","1977Jul","10.1503300"
"1977-08-31","1977Aug","10.0849800"
"1977-09-30","1977Sep","10.0194100"
"1977-10-31","1977Oct","10.0354400"
"1977-11-30","1977Nov","9.9698730"
"1977-12-31","1977Dec","9.9375470"
"1978-01-31","1978Jan","9.7573840"
"1978-02-28","1978Feb","9.7459110"
"1978-03-31","1978Mar","9.6470670"
"1978-04-30","1978Apr","9.5185710"
"1978-05-31","1978May","9.6362800"
"1978-06-30","1978Jun","9.5710940"
"1978-07-31","1978Jul","9.5750600"
"1978-08-31","1978Aug","9.5259560"
"1978-09-30","1978Sep","9.6289680"
"1978-10-31","1978Oct","9.8057020"
"1978-11-30","1978Nov","9.8495140"
"1978-12-31","1978Dec","9.6583350"
"1979-01-31","1979Jan","9.6236300"
"1979-02-28","1979Feb","9.7418580"
"1979-03-31","1979Mar","9.8235000"
"1979-04-30","1979Apr","9.9273760"
"1979-05-31","1979May","10.2009600"
"1979-06-30","1979Jun","10.3992400"
"1979-07-31","1979Jul","10.5292400"
"1979-08-31","1979Aug","10.5990500"
"1979-09-30","1979Sep","10.6704200"
"1979-10-31","1979Oct","10.8467900"
"1979-11-30","1979Nov","11.1373700"
"1979-12-31","1979Dec","11.4200500"
"1980-01-31","1980Jan","11.5023300"
"1980-02-29","1980Feb","12.0852500"
"1980-03-31","1980Mar","12.6849600"
"1980-04-30","1980Apr","12.5724200"
"1980-05-31","1980May","12.2638400"
"1980-06-30","1980Jun","12.1057400"
"1980-07-31","1980Jul","12.1237400"
"1980-08-31","1980Aug","12.1639700"
"1980-09-30","1980Sep","12.4537200"
"1980-10-31","1980Oct","12.7621300"
"1980-11-30","1980Nov","12.9068300"
