DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-01,1.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-02,1.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-03,0.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-04,0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-05,0.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-06,0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-07,0.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-08,-0.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-09,-0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-10,-0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-11,-0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2020-12,-0.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-01,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-02,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-03,1.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-04,1.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-05,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-06,1.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-07,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-08,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-09,3.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-10,4.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-11,4.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2021-12,5.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-01,5.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-02,5.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-03,7.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-04,7.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-05,8.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-06,8.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-07,8.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-08,9.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-09,9.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-10,10.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-11,10.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2022-12,9.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-01,8.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-02,8.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-03,6.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-04,7.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-05,6.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-06,5.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-07,5.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-08,5.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-09,4.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-10,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-11,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2023-12,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-01,2.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-02,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-03,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-05,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-06,2.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-07,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-08,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-09,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-10,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-11,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2024-12,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-01,2.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-02,2.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-03,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-04,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-05,1.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Euro area – 20 countries (2023-2025),2025-06,2.0,,
